Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,University of Canberra,Canberra,Master of Applied Arts & Humanities (Research) - 303JA,Humanities and Social Science,"27,000","22,800",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=303JA&version_number=1&title=Master-of-Applied-Arts---Humanities-(Research)&location=BRUCE&rank=FFF&faculty=Faculty-of-Arts-and-Design&year=2021,English,A,"The Master of Applied Arts and Humanities (Research) is a full-time or part-time course which sees you working with highly qualified researchers with strong industry connections on a research thesis or creative project. Fields you can choose to explore include: communication, journalism, creative writing, culture and heritage, industrial design, visual communication design, architecture, landscape architecture, TESOL/FLT or international studies.",Academic / Arts policy analyst / Creative writer / Filmmaker / Digital artist / Cultural heritage professional,Australia,no,yes,no,yes,yes,
PG,University of Canberra,Canberra,Master of Applied Science (Research) - 910AA,Engineering,"35,500","29,500",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=910AA&version_number=2&title=Master-of-Applied-Science-(Research)&location=BRUCE&rank=FFF&faculty=Faculty-of-Science-and-Technology&year=2021,English,A,"If you are a science or applied science graduate and wish to further develop your research skills, then this is the course for you. The Master of Applied Science (Research) presents you with an opportunity to undertake independent research in a specialised area with expert supervision. This two-year full-time course has two study routes, and you can choose to complete it via a mixture of coursework and thesis, or thesis only.",Research scientist / Research assistant / Research officer / Research associate / Policy officer / Science communicator,Australia,no,no,no,no,yes,
PG,University of Canberra,Canberra,Master of Arts in Government (Research) - 920AA,Engineering,"27,800","22,800",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=920AA&version_number=2&title=Master-of-Arts-in-Government-(Research)&location=BRUCE&rank=FFF&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"The Master of Arts in Government (Research) allows you to develop relevant research skills through a carefully designed program which includes a dissertation and relevant choice of coursework units. You will undertake advanced study and reflection on practice in the fields of public sector management, politics and public policy, drawing on your previous professional experience in government, while expanding your skills and expertise.",Sessional academic / Research officer / Research fellow / Research services officer / Public servant / Policy officer / Project officer / Board member / Senior analyst / Program director / Strategic adviser / Consultant / Indigenous program director / Entrepreneur / Social impact assessment consultant / Indigenous program director / International diplomat / International project director / Campaign manager / International consultant / Journalist / International development worker / International aid worker / Community development educator,Australia,no,no,no,no,yes,
PG,University of Canberra,Canberra,Master of Arts in Tourism (Research) - 327AA,Tourism and Hotel Management,"27,800","22,800",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=327AA&version_number=4&title=Master-of-Arts-in-Tourism-(Research)&location=BRUCE&rank=FFF&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"If you have a background in tourism, or have completed previous study in the field, then this course provides you with the opportunity to pursue research at a master’s degree level in your area of specialisation. On top of a selection of coursework units, you will undertake training in research methods, and will develop a research proposal and thesis in your chosen area of tourism studies.",Sessional academic / Tourism director / Tourism consultant / Events director / Marketing director / Festival program director / Director of sustainable tourism / Sponsorship director / Public relations director / Communications director / Brand manager / Indigenous program director / Entrepreneur,Australia,no,no,no,no,yes,
PG,University of Canberra,Canberra,Master of Business (Research) - 859AA,Engineering,"27,800","22,800",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=859AA&version_number=2&title=Master-of-Business-(Research)&location=BRUCE&rank=FFF&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"Studying this postgraduate degree will allow you to develop relevant research skills through a carefully designed program, which includes the selection of electives tailored to your professional experience and a dissertation. The course provides opportunities for advanced study and reflection on practice across a range of professional fields including accountancy, business management, economics, human resource development, international management, organisational behaviour and more.",Sessional academic / Research officer / Research fellow / Company director / General manager / Chief executive officer / President / Vice president / Chief financial officer / Board member / Marketing director / Entrepreneur / Business consultant / Financial analyst / Marketing director / Indigenous program director,Australia,no,no,no,no,yes,
PG,University of Canberra,Canberra,Master of Education (Research) - 927AA,Engineering,"28,500","22,800",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=927AA&version_number=2&title=Master-of-Education-(Research)&location=BRUCE&rank=FFF&faculty=Faculty-of-Education&year=2021,English,A,"If you are a graduate with education experience who is looking to expand your expertise in research, this master’s course will provide you with the critical research skills you need for either career advancement in education-focused fields or as a stepping stone to doctoral research. Depending on your previous research training, this flexible course provides you with the option of concentrating on a thesis alone, or undertaking a combination of postgraduate coursework along with a thesis. ",Principal / Deputy principal / Executive teacher / Education policy adviser / Senior curriculum developer / Research officer / Lecturer / Sessional academic,Australia,no,yes,no,yes,no,
PG,University of Canberra,Canberra,Master of Health (Research) - 135JA,English,"27,800","22,800",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=135JA&version_number=2&title=Master-of-Health-(Research)&location=BRUCE&rank=FFF&faculty=Faculty-of-Health&year=2021,English,A,"If you’re an experienced graduate of a health-related discipline and looking to evaluate and explore the evidence for practice, develop and conduct health research, then the Master of Health (Research) is the course that will help you gain the qualifications to be recognised as a research specialist.","recognised undergraduate health sciences degree at honours level or / recognised health science degree and health experience, with demonstrated capacity and/or aptitude for research / approval of your study plans with a supervising academic.",Australia,yes,no,no,no,yes,
PG,University of Canberra,Canberra,Master of Information Sciences (Research) - 861AA,Engineering,"27,800","22,800",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=861AA&version_number=2&title=Master-of-Information-Sciences-(Research)&location=BRUCE&rank=FFF&faculty=Faculty-of-Science-and-Technology&year=2021,English,A,"If you already have a degree in information sciences, but are looking to take your research skills to the next level, this course lets you extend your knowledge and make valuable new contributions to the pioneering field of information technology (IT). You will undertake advanced coursework and research across a broad spectrum of engineering and IT-related areas, including statistics, business informatics, mathematics, information systems, network engineering, software engineering, artificial intelligence, and more.",Researcher / Software engineer / Network engineer / Web application developer / Network security engineer / Software and hardware programmer / Network and systems administrator / IT project manager / IoT (Internet of Things) specialist / ICT security engineer / Software and network engineering consultant / Artificial intelligence and machine learning engineer,Australia,yes,yes,no,yes,yes,
PG,University of Canberra,Canberra,Master of Law (Research) - 942AA,Engineering,"27,800","22,800",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=942AA&version_number=1&title=Master-of-Law-(Research)&location=BRUCE&rank=FFF&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"If you are a graduate who wishes to advance your skills, interests, capacities and career by undertaking a substantial research project in the field of law, then look no further than the Master of Law (Research). During your time with us, you will develop advanced legal research and writing skills by producing a dissertation which will make an original contribution to research literature in your chosen area of study.
You’ll graduate having created an impressive body of work and will be ready to move onto the next stage of your legal or academic career. As a Higher Degree by Research (HDR), this course is covered under the Australian Government's Research Training Program (RTP) funding model, which provides a fee offset for domestic students for the standard duration of the course.",Sessional academic / Research officer / Research fellow / Lawyer* / Solicitor* / Barrister* / Judge* / Magistrate* / Registrar / Company director / Public servant / Policy adviser / Parliamentary counsel / Legislative drafter / Law reform officer / Senior analyst / Strategic adviser / Business consultant / International diplomat / Director of sustainability,Australia,yes,yes,no,yes,yes,
DPG,University of Canberra,Canberra,Doctor of Philosophy - MXP001,Humanities and Social Science,"28,600 (low cost)
37,600 (high cost)","23,000 (low cost)
29,500 (high cost)",AUD,year,4,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=MXP001&version_number=1&title=Doctor-of-Philosophy&location=BRUCE&rank=GGG&faculty=Graduate-Research-Office&year=2021,English,A,"The Doctor of Philosophy or PhD Plus is a 4-year full-time equivalent 96 credit points (CP) doctoral higher degree by research course available across a range of disciplines within our University faculties, centres and research institutes. HDR candidates will be expected under academic supervision, to conduct independent and specialised research, disseminating the results of this research in either a written dissertation, portfolio of published works or creative work with an exegesis.The degree incorporates up to 12CP of coursework study to be completed in the first two semesters of the PhD for a full-time student, or over four semesters for a part-time student.The proposed PhD Plus provides graduates with a distinctive and innovative advantage to enhance their capability in professional or community practice recognised as part of their degree by incorporating opportunities for industry engagement and placements for HDR candidates.",Sessional academic / Research officer / Research fellow / Lawyer* / Solicitor* / Barrister* / Judge* / Magistrate* / Registrar / Company director / Public servant / Policy adviser / Parliamentary counsel / Legislative drafter / Law reform officer / Senior analyst / Strategic adviser / Business consultant / International diplomat / Director of sustainability,Australia,yes,yes,no,yes,yes,
DPG,University of Canberra,Canberra,Doctor of Philosophy in Clinical Psychology - 958AA,Humanities and Social Science,"36,000","29,500",AUD,year,4,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=958AA&version_number=2&title=Doctor-of-Philosophy-in-Clinical-Psychology&location=BRUCE&rank=GGG&faculty=Faculty-of-Health&year=2021,English,A,The Doctor of Philosophy (Ph.D.) in Clinical Psychology course is perfect for those looking to take their career to the highest levels and have both the passion and commitment to see it all the way through.,"private practice, supporting members of the public / health departments, hospitals, and community practices / national, state or local government or non-government organisations / welfare agencies, educational institutions, defence, justice and community services / agencies conducting research and evaluation / university departments of psychology.",Australia,no,yes,no,yes,yes,
DPG,University of Canberra,Canberra,Professional Doctorate in Business Administration (Research) - 380JA,Engineering,"27,800","22,800",AUD,year,1460,Days,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=380JA&version_number=1&title=Professional-Doctorate-in-Business-Administration-(Research)&location=BRUCE&rank=GGG&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"If you are a business professional looking to extend your expertise and progress your career to the next level, then the Professional Doctorate in Business Administration (Research) will help you embrace your past professional and workplace experience to develop a host of relevant research skills. This carefully designed program provides opportunities for advanced study and reflection on practice across a range of professional fields including accountancy, business management, economics, human resource development, international management, organisational behaviour, and more.",Academic / Lecturer / Sessional academic / Senior research officer / Senior research fellow / Company director / General manager / Chief executive officer / President / Vice president / Chief financial officer / Board member / Marketing director / Business start-up adviser / Entrepreneur / Business consultant / Public servant / Senior policy officer / Indigenous program director / Human resources director / Industrial relations director / International diplomat,Australia,no,yes,no,yes,yes,
DPG,University of Canberra,Singapore,Professional Doctorate in Business Administration (Research) (Singapore) - 380JB,Engineering,"27,800","22,800",AUD,year,1460,Days,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=380JB&version_number=1&title=Professional-Doctorate-in-Business-Administration-(Research)-(Singapore)&location=UNIASIA&rank=GGG&faculty=Faculty-of-Business,-Government---Law&year=2021",English,I,"The Professional Doctorate (Research) is designed to benefit early and mid-career professionals in business, government or law who wish to study at the doctoral level in their professional field, its work and associated bodies of knowledge. The Professional Doctorate (Research) is a second generation professional doctorate developed in response to the growing demand in the Knowledge Economy for professionals educated in the higher order research and analytical skills necessary to identify and understand complex problems, and to identify and explore effective and innovative triple bottom line approaches to professional practices issues and concerns. As a second generation professional doctorate, the degree engages candidates with contemporary trans-disciplinary and extra-disciplinary 'open' systems of knowledge production. This is distinguishable from the traditional, academically-focused PhD and first generation professional doctorates in other core respects, by incorporating a fresh and innovative package of research skills coursework units which embrace candidates' professional and workplace experience. The Professional Doctorate (Research) also emphasises professional and workplace experience in the research component and supervision, including the option of including business, government or law experts as research advisers. This emphasis not only assists candidates in making a significant and original contribution to knowledge in the context of professional practice, but also acknowledges and draws upon the links among universities, professions and industry characteristic of the Knowledge Economy.",Academic / Lecturer / Sessional academic / Senior research officer / Senior research fellow / Company director / General manager / Chief executive officer / President / Vice president / Chief financial officer / Board member / Marketing director / Business start-up adviser / Entrepreneur / Business consultant / Public servant / Senior policy officer / Indigenous program director / Human resources director / Industrial relations director / International diplomat,Singapore,no,yes,no,yes,yes,
DPG,University of Canberra,Canberra,Professional Doctorate in Legal Science (Research) - 384JA,Engineering,"27,800","22,800",AUD,year,4,Years,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=384JA&version_number=1&title=Professional-Doctorate-in-Legal-Science-(Research)&location=BRUCE&rank=GGG&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"The Professional Doctorate in Legal Science (Research) combines coursework with a research dissertation to enable advanced study and reflection on practice in the professional field of law. As a doctoral student, you will choose a real-world legal problem to explore as a research project and will be encouraged to use it to draw upon, and extend, your professional experience and expertise in relation to your own workplace, organisation or community.",Academic / Lecturer / Sessional academic / Senior research officer / Senior research fellow / Lawyer* / Solicitor* / Barrister* / Judge* / Magistrate* / Registrar / Company director / Public servant / Senior policy adviser / Parliamentary counsel / Legislative drafter / Law reform officer / Senior analyst / Strategic adviser / Business consultant,Australia,no,yes,no,yes,yes,
DPG,University of Canberra,Canberra,Professional Doctorate in Nurse Practitioner (Research) - 253JA,Engineering,,"22,800",AUD,year,3,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=253JA&version_number=3&title=Professional-Doctorate-in-Nurse-Practitioner-(Research)&location=BRUCE&rank=GGG&faculty=Faculty-of-Health&year=2021,English,A,"Designed for experienced and qualified nurse practitioners seeking to take their career to the highest levels of healthcare research and understanding, this Professional Doctorate in Nurse Practitioner (Research) course will offer you a direct pathway to becoming a leader in your specific field of nursing interest.",nurse academic / clinical research nurse / nurse researcher / advanced nurse practitioner / director of Nursing,Australia,yes,no,no,no,yes,
DPG,University of Canberra,Canberra,Professional Doctorate in Public Administration (Research) - 385JA,Engineering,"27,800","22,800",AUD,year,4,Years,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=385JA&version_number=1&title=Professional-Doctorate-in-Public-Administration-(Research)&location=BRUCE&rank=GGG&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"If you are a public administration professional, this course will see you extend and build upon your professional experience via a combination of coursework, a relevant choice of electives and a research dissertation. You will undertake advanced study and reflection on theory and practice in the professional field of public administration and public policy, while drawing on, and extending, your professional experience and expertise.","Professional Doctorate in Public Administration (Research) (72 credit points) /  / Required - 66 credit points as follows /  / Coursework - 18 credit points as follows / 6647 - Research Methodology and Research Design PG - 6 cp, Level P / 6648 - Quantitative Research Methods B PG - 3 cp, Level P / 6649 - Qualitative Research Methods B PG - 3 cp, Level P / 6650 - Literature Review Seminar - 3 cp, Level P / 8610 - Professional Doctorate Research Proposal B PG - 3 cp, Level P /  /  /  / Dissertation - 48 credit points as follows / 4515 - Public Administration Dissertation D:FT - 48 cp, Level D / 4516 - Public Administration Dissertation D:PT - 48 cp, Level R /  /  /  /  /  / Coursework Units - Must pass 6 credit points from the following / Postgrad Level, selected from Masters or Grad Dip, with the approval of the dissertation Supervisor & Course Convener. Units will be assessed according to their relevance to the proposed dissertation. /  /  /  / Candidates are also required to complete a Research Education Program to acquire the generic skills & attributes identified as appropriate for graduates of postgraduate research programs at UC.",Australia,no,no,no,no,yes,
